Image Name,Keywords
Red-fronted lemur,NZP-20050731-393AB-000001,"Species: rufus,Genus: Eulemur,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Red Ruffed Lemur,Lemur,Primate,lemur island"
Orangutan,NZP-20060410-064JC-000001,"O Line,Kiko,Pongo pygmaeus: Bornea and Pongo abelii: Sumatran,Species: pygmaeus,Genus: Pongo,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Orangutan,Ape,male,outside,horizontal"
Ruppell's Griffon Vulture,NZP-20141001-084GM,"Species: rueppellii,Genus: Gyps,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Ruppell's Griffon Vulture,Vulture,Bird of Prey,Bird"
Asian Small-clawed Otter,NZP-20070723-086MM-000001,"Asia Trail,Species: cinerea,Genus: Aonyx,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Otter,Mustelid,Asian Small-clawed otter,horizontal"
Common Opossum,NZP-20180107-8633CN,"Species: marsupialis,Genus: Didelphis,Family: Didelphidae,Order: Didelphimorphia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Common Opossum,Opossum,Marsupial,Minnie,SMH,Small Mammal House"
Brazillian Agouti,NZP-20150228-0425CN,"Agouti,Macadamia,Small Mammal House,SMH,Species: leporina,Genus: Dasyprocta,Family: Dasyproctidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Red-rumped Agouti,Brazillian Agouti,female"
Asian Water Dragon,NZP-20181031-058SB,"Species: cocincinus,Genus: Physignathus,Family: Agamidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Asian Water Dragon,Lizard,Reptile"
Green and Black Poison Frog,NZP-20130618-4870AW,"Species: azureus,Genus: Dendrobates,Family: Dendrobatidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amazonia,Amphibian,Frog"
Indian Peafowl,NZP-20130417-044CPM,"Bird,Species: cristatus,Genus: Pavo,Family: Phasianidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Peacock,male"
Roseate Spoonbill,NZP-20160226-359CTW,"Species: ajaja,Genus: Ajaia,Family: Threskiornithidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Amazonia,Roseate Spoonbill,Spoonbill,Bird"
Scimitar-horned Oryx,NZP-20160802-0031DR,"Species: dammah,Genus: Oryx,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Scimitar-horned Oryx,Oryx,Ungulate,Even-toed Ungulate,SCBI,Front Royal,female,Ruby,Even-toed ungulate"
Sand Cat,NZP-20140914-9105CN-000001,"Thor,Species: margarita,Genus: Felis,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Cat,Sand Cat,male,horizontal"
Cheetah,NZP-20140817-6602RG-000003,"Species: jubatus,Genus: Acinonyx,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Front Royal,SCBI,Cheetah,Cat,cub,young,Mother: Amani,Bakari"
Smithsonian Institution IDS 503 Service Temporarily Unavailable,NZP-20130417-082CPM,"Bird,Species: cristatus,Genus: Pavo,Family: Phasianidae,Order: Galliformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Peacock,male"
Brown Pelican,NZP-20070831-073MM,"Species: occidentalis,Genus: Pelecanus,Family: Pelecanidae,Order: Pelecaniformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Pelican"
Sumatran Tiger,NZP-20091222-416MM,"Snow,Species: tigris sumatrae,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Cat,Tiger,Sumatran Tiger,male,Guntur,winter,horizontal"
Allen's Swamp Monkey,NZP-20160323-007AB,"Allen's Swamp Monkey,baby,First day outside,girl,Layla,Species: nigroviridis,Genus: Allenopithecus,Family: Cercopithecidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Primate,mother,young,Think Tank"
Von der Decken's Hornbill,NZP-20160214-517CN,"Hornbill,Von der Decken's Hornbill,SMH,Small Mammal House,Species: deckeni,Genus: Tockus,Family: Bucerotidae,Order: Coraciiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird"
Bald Eagle,NZP-20131121-8630SS,"Species: leucocephalus,Genus: Haliaeetus,Family: Accipitridae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,American Trail,Bird,Bird of Prey,Bald Eagle"
Giant Panda,NZP-20070705-443MM,"Tai Shan,Bamboo,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,male,Giant Panda,Bear,yard,outside,horizontal,bamboo,eating"
Banded Mongoose,NZP-20060208-060JC,"Species: mungo,Genus: Mungos,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Banded Mongoose,Mongoose,Viverrid,SMH,Small Mammal House"
Giant Leaf-tailed Gecko,NZP-20100922-293MM,"Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Prevost's Squirrel,NZP-20091218-101MM,"Holiday,Species: prevostii,Genus: Callosciurus,Family: Sciuridae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Prevost's Squirrel,SMH,Small Mammal House,Squirrel,Rodent,enrichment"
Vietnamese Mossy Frog,NZP-20081119-075MM,"eye,Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Black-crowned Night Heron,NZP-6000-36JC-000001,"Species: nycticorax,Genus: Nycticorax,Family: Ardeidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,wild,non collection animal,heron,Bird"
Panamanian Golden Frog,NZP-20090114-099MM,"Species: zeteki,Genus: Atelopus,Family: Bufonidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Vietnamese Mossy Frog,NZP-20060711-198JC,"Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Maned Wolf,NZP-20160804-025GM-000001,"Species: brachyurus,Genus: Chrysocyon,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Maned Wolf,Wolf,Canine,Mateo,male"
Screaming Hairy Armadillo,NZP-20141121-011CPM,"Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Armadillo,Edentate,Xenarthara,Screaming hairy armadillo,horizontal"
Spiny-headed Tree Frog,NZP-20110405-108MM,"Species: spinosa,Genus: Anotheca,Family: Hylidae,Order: Anura,Class: Amphibia,Phylum: Chordata,King:Animalia,Amphibian"
"Athena, Southern Two-toed Sloth",NZP-20200110_010RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Kingdom: Animalia,Phylum: Chordata,Class: Mammalia,Order: Pilosa,Family: Megalonychidae,Genus and Species: Choloepus didactylus,Sloths,Mammals,Small Mammal House"
Scimitar-horned Oryx,NZP-20181214-001CPM,"Even-toed ungulate,Species: dammah,Genus: Oryx,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Scimitar-horned Oryx,Oryx"
Panamanian Golden Frog,NZP-20090114-233MM-000002,"Species: zeteki,Genus: Atelopus,Family: Bufonidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Giant Panda,NZP-20180608-150SB,"Mei Xiang,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Asia Trail,Giant Panda"
Striped Skunk,NZP-20150517-8674CN,"Clementine,Skunk,Striped Skunk,Species: mephitis,Genus: Mephitis,Family: Mephitidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,female"
Sumatran Tiger,NZP-20110523-039MM,"Species: tigris sumatrae,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Damai,female,horizontal,Cat,Tiger,Sumatran Tiger"
Miniature Mediterranean Donkey,NZP-20040604-151JC,"Species: asinus,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Miniature Mediterranean Donkey,Donkey,Ungulate,Odd-toed Ungulate,Kids Farm"
Spider Tortoise,NZP-20130313-026CPM,"Species: arachnoides,Genus: Pyxis,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,King:Animalia,Reptile,Tortoise"
Miniature Mediterranean Donkey,NZP-20050528-363AB,"Species: asinus,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Miniature Mediterranean Donkey,Donkey,Ungulate,Odd-toed Ungulate,Kids Farm"
Kori Bustard,NZP-20110426-36MM,"Species: kori,Genus: Ardeotis,Family: Otididae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,eye pecking,Bird,Rail,Crake"
Gaboon Viper,NZP-2550-10JC,"Species: gabonica,Genus: Bitis,Family: Viperidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,Date unknown"
Perdido Key Beach Mouse,NZP-20180901-3871CN,"Perdido Key Beach Mouse,Species: polionotus trissyllepsis,Genus: Peromyscus,Family: Cricetidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mouse,Rodent,SMH,Small Mammal House"
Northern Tree Shrew,NZP-20160223-033CTW,"Species: belangeri,Genus: Tupaia,Family: Tupaiidae,Order: Scandentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,SMH,Small Mammal House,Northern Tree Shrew,Shrew"
Andean Bear,NZP-20170714-1008NM-000001,"Species: ornatus,Genus: Tremarctos,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Andean Bear,Spectacled Bear,Bear,Bouba,male"
Red Panda,NZP-20070122-443MM,"Red Panda,Species: fulgens,Genus: Ailurus,Family: Ailuridae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Asia Trail,Snow,winter"
Oriental Fire-bellied Toad,NZP-20160216-165CTW,"Species: orientalis,Genus: Bombina,Family: Discoglossidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Oriental Fire-bellied Toad,Toad,Amphibian"
Screaming Hairy Armadillo,NZP-20150208-9521CN,"Armadillo,Screaming Hairy Armadillo,Walter,Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Small Mammal House,SMH,Edentate,Xenarthara,Screaming hairy armadillo,horizontal,male"
American Alligator,NZP-20050712-272JC,"Species: mississippiensis,Genus: Alligator,Family: Crocodylidae,Order: Crocodylia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Pond,Reptile House,water,reptile,crocodilians"
Australian Snake-necked Turtle,NZP-20160216-145CTW,"Species: longicollis,Genus: Chelodina,Family: Chelidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Australian Snake-necked Turtle,Turtle,Reptile"
Harbor Seal,NZP-SBS8866,"Species: vitulina,Genus: Phoca,Family: Phocidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,American Trail,Harbor Seal,Seal,Pinnipede,Luke,Squeegee"
Northern Red Salamander,NZP-20150909-0142MM,"Species: ruber ruber,Genus: Pseudotriton,Family: Plethodontidae,Order: Caudata,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Salamander,Amphibian,Northern Red Salamander"
Black-and-white Ruffed Lemur,NZP-20181114-3952SB,"Species: variegata,Genus: Varecia,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Black-and-white Ruffed Lemur,Lemur,Primate"
Vietnamese Mossy Frog,NZP-20081119-074MM,"eye,Species: corticale,Genus: Theloderma,Family: Rhacophoridae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Amphibian"
Prehensile-tailed Porcupine,NZP-20091202-13MM,"young,Baby,Species: prehensilis,Genus: Coendou,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Prehensile-tailed Porcupine,Porcupine,SMH,Small Mammal House,Brazilian Porcupine,Coendu,horizontal"
Gila Monster,NZP-20050609-372JC,"Species: suspectum,Genus: Heloderma,Family: Helodermatidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,lizard"
Giant Leaf-tailed Gecko,NZP-20180131-9101JPJ,"Reptile,Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Giant Leaf-tailed Gecko,Gecko"
Dwarf Mongoose,NZP-20180622-5472RP,"Dwarf Mongoose,SMH,Small Mammal House,Species: parvula,Genus: Helogale,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia"
Meller's Chameleon,NZP-20170803-007JZ,"Species: melleri,Genus: Trioceros,Family: Chamaeleonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Meller's Chameleon,Chameleon,Reptile,Lizard,Reptile House"
Spider Tortoise,NZP-20110405-135MM,"Species: arachnoides,Genus: Pyxis,Family: Testudinidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,King:Animalia,Reptile,Tortoise"
Hereford Cow,NZP-20180628-553SB-000001,"Species: taurus taurus hereford,Genus: Bos,Family: Bovidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Hereford Cow,Kids Farm,Ungulate,Even-toed ungulate,Cow"
Chinese Crocodile Lizard,NZP-20180131-9025JPJ,"Kingdom: Animalia,Phylum: Chordata,Class: Reptilia,Order: Squamata,Family: Shinisauridae,Genus: Shinisaurus,Species: crocodilurus,Chinese Crocodile Lizard,Lizard,Reptile"
Sloth Bear,NZP-20080410-290MM,"Khali,female,Species: ursinus,Genus: Melursus,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Sloth Bear,Asia Trail,vertical"
Fly River Turtle,NZP-20170609-106RP,"Species: insculpta,Genus: Carettochelys,Family: Carettockelyidae,Order: Testudines,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Fly River Turtle,Turtle,Reptile,Amazonia"
Rock Cavy,NZP-20050114-007JC-000001,"Species: rupestris,Genus: Kerodon,Family: Caviidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,horizontal,Rock Cavy,Rodent,SMH,Small Mammal House"
Asian Elephant,NZP-20180628-509SB,"Elephant Trails,Asian elephant,Spike,Species: maximus,Genus: Elephas,Family: Elephantidae,Order: Proboscidea,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia"
Banded Mongoose,NZP-20070411-253MM,"Species: mungo,Genus: Mungos,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Banded Mongoose,Mongoose,Viverrid,SMH,Small Mammal House"
Lowland Gorilla,NZP-20090616-393MM,"Baraka,Species: gorilla,Genus: Gorilla,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Lowland Gorilla,male,Gorilla,Western Gorilla,Silverback,Primate,horizontal,Ape"
Slender-tailed Meerkat,NZP-20180622-5488RP,"SMH,Small Mammal House,Species: suricatta,Genus: Suricata,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Slender-tailed Meerkat,Meerkat"
Gray Wolf,NZP-20121218-8303BS,"Species: lupus,Genus: Canis,Family: Canidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Gray Wolf,Wolf,Canine,AMT,American Trail,Coby"
Sitatunga,NZP-20121227-11GM,"Species: spekii,Genus: Tragelaphus,Family: Bovidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Silas,Sitatunga,Ungulate,Even-toed ungulate"
North American River Otter,NZP-20040326-206JC,"male,Species: canadensis,Genus: Lontra,Family: Mustelidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,North American River Otter,Otter,Mustelid,Beaver Valley,American Trail"
Green Tree Python,NZP-20081126-209MM,"young,color change,tongue,Species: viridis,Genus: Morelia,Family: Boidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Snake,juvenile,red eyes"
Prehensile-tailed Porcupine,NZP-20091202-06MM-000001,"young,Baby,Species: prehensilis,Genus: Coendou,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Prehensile-tailed Porcupine,Porcupine,SMH,Small Mammal House,Brazilian Porcupine,Coendu,horizontal"
Alpaca,NZP-20090127-1095MM,"Orion,Ziggy,snow,Species: pacos,Genus: Lama,Family: Camelidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Alpaca,Ungulate,Even-toed ungulate,Kid's Farm,male"
Naked Mole-rat,NZP-20180823-6046RP-000001,"Species: glaber,Genus: Heterocephalus,Family: Bathyergidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Naked Mole-rat,Rodent,Mole-rat,exhibit,food,SMH,Small Mammal House"
Harbor Seal,NZP-20160307-454CTW-000001,"American Trail,Class: Mammalia,Family: Phocidae,Genus: Phoca,Harbor Seal,Kingdom: Animalia,Order: Carnivora,Phylum: Chordata,Seal,Species: vitulina,Pinnipede,Luke"
Damaraland Mole-rat,NZP-20020227-4699JC,"Species: damarensis,Genus: Cryptomys,Family: Bathyergidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Mole-rat,Damaraland Mole-rat,Rodent,SMH,Small Mammal House,horizontal"
Burrowing Owl,NZP-20100319-05MM,"Species: cunicularia,Genus: Athene,Family: Strigidae,Order: Strigiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,adult,Bird,Owl"
Red Siskin,NZP-20161120-9563CC,"Species: cucullata,Genus: Sporagra,Family: Fringillidae,Order: Passeriformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,male,Red Siskin,Bird,SCBI,Front Royal"
Roseate Spoonbill,NZP-20160908-138SB,"Species: ajaja,Genus: Ajaia,Family: Threskiornithidae,Order: Ciconiiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Roseate Spoonbill,spoonbill,bird,Amazonia"
Eyelash Palm Pitviper,NZP-20110809-104MM,"Species: schlegelii,Genus: Bothriechis,Family: Viperidae crotalinae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,reptile,snake,Reptile house"
African Lion,NZP-20080117-339MM,"snow,bone,Species: leo,Genus: Panthera,Family: Felidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,African Lion,Lion,Cat,male,horizontal,winter,Luke"
King Vulture,NZP-20060607-149JC,"male,Species: papa,Genus: Sarcoramphus,Family: Cathartidae,Order: Falconiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Bird of Prey"
Whooping Crane,NZP-20160307-513CTW,"Bird,Class: Aves,Crane,Family: Gruidae,Genus: Grus,Kingdom:Animalia,Order: Gruiformes,Phylum: Chordata,Species: americana,Whooping Crane"
Siamang,NZP-20181114-8809SB,"Species: syndactylus,Genus: Symphalangus,Family: Hylobatidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Siamang,Monkey,Primate,enrichment,Thanksgiving,Gourd"
La Plata Three-banded Armadillo,NZP-20111005-034MM-000001,"Species: matacus,Genus: Tolypeutes,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Armadillo,Three banded armadillo,Edentate,Xenarthara,La Plata Three-banded Armadillo,Southern Three-banded Armadillo,SMH,Small Mammal House,horizontal"
Short-eared Elephant Shrew,NZP-20141122-4779CN,"SMH,Small Mammal House,Species: proboscideus,Genus: Macroscelides,Family: Macroscelididae,Order: Macroscelidea,Class: Mammalia,Phylum: Chordata,horizontal,mammal,shrew,Shrew,Short-eared Elephant Shrew,Elephant Shrew,Kingdom: Animalia"
La Plata Three-banded Armadillo,NZP-20060710-73JC,"Species: matacus,Genus: Tolypeutes,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Armadillo,Three banded armadillo,Edentate,Xenarthara,La Plata Three-banded Armadillo,Southern Three-banded Armadillo,SMH,Small Mammal House,horizontal,grass"
Alpaca,NZP-20071211-230MM-000001,"Ziggy,Orion,Cirrus,Species: pacos,Genus: Lama,Family: Camelidae,Order: Artiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Alpaca,Ungulate,Even-toed ungulate,Kid's Farm,male"
Sloth Bear,NZP-20060531-175JC,"Hana,Female,Species: ursinus,Genus: Melursus,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Sloth Bear,female,horizontal"
Giant Panda,NZP-20060712-061JC,"Tai Shan,Species: melanoleuca,Genus: Ailuropoda,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Giant Panda,Bear,male,cub,young,yard,outside,horizontal,bamboo"
Stanley Crane,NZP-20080827-441JC,"Species: paradiseus,Genus: Anthropoides,Family: Gruidae,Order: Gruiformes,Class: Aves,Phylum: Chordata,Kingdom: Animalia,Bird,Crane"
Sloth Bear,NZP-20080410-237MM,"Khali,female,Species: ursinus,Genus: Melursus,Family: Ursidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Bear,Sloth Bear,Asia Trail,horizontal"
Persian Onager,NZP-20150628-0821DR,"SCBI,Front Royal,Species: hemionus onager,Genus: Equus,Family: Equidae,Order: Perissodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,baby,young,Persian Onager,filly,female,Onager,Ungulate,Odd-toed Ungulate,foal"
Aquatic Caecilian,NZP-20081204-242JC,Species: natans Genus: Typhlonectes Family: Caeciliidae Order: Gymnophiona Class: Amphibia Phylum: Chordata Kingdom: Animalia adult Amazonia Exhibit Amphibian
Crocodile Monitor,NZP-20191126_001RP,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,Animals,NZP,Open Access/CCO,Open Access,CCO,Crocodile Monitors,Lizards,Reptiles,Reptilia,Squamata,Varanidae,Reptile Discovery Center"
Black Howler Monkey,NZP-20130406-001CN,"Chula,Helio,Heliodoro,Species: caraya,Genus: Alouatta,Family: Atelidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,baby,young,mother,Black Howler Monkey,Howler Monkey,Monkey,Primate,New World Monkey,SMH,Small Mammal House,horizontal"
Banded Mongoose,NZP-20160214-610CN-000001,"Banded Mongoose,Mongoose,SMH,Small Mammal House,Species: mungo,Genus: Mungos,Family: Herpestidae,Order: Carnivora,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Viverrid"
